gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
1733	g11649	1218.5982207139	1.3759246380905	0.341829125002017	4.02518257647702	5.69311274860502e-05	0.000412790702185917	2198	1249	1323	1492	1523	922	2253	595	612	699	530	677	sp	Q9ES00	UBE4B_MOUSE	49.164	1076	493	9	337	3435	106	1170	0	1051	Q9ES00	reviewed	UBE4B_MOUSE	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	Ube4b Ufd2 Ufd2a	Mus musculus (Mouse)	1173	GO:0000151; GO:0000209; GO:0003222; GO:0005524; GO:0005634; GO:0005737; GO:0006457; GO:0006511; GO:0006513; GO:0008626; GO:0009411; GO:0016567; GO:0019899; GO:0030163; GO:0031175; GO:0034450; GO:0034976; GO:0036503; GO:0043161; GO:0051082; GO:0051117; GO:0051865; GO:0061630
1734	g11648	10502.0037586553	1.11879001310619	0.37697097447238	2.96784126330172	0.0029989916393492	0.0119370979522133	15901	20519	11256	4941	9416	12327	7133	4719	6691	7245	13877	6905	sp	Q9BXM7	PINK1_HUMAN	38.514	444	225	11	673	1998	179	576	3.96e-83	276	Q9BXM7	reviewed	PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	581	GO:0000287; GO:0000422; GO:0000423; GO:0000785; GO:0002020; GO:0002082; GO:0002931; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005743; GO:0005758; GO:0005783; GO:0005829; GO:0005856; GO:0006468; GO:0006511; GO:0006979; GO:0007005; GO:0010310; GO:0010629; GO:0010821; GO:0010857; GO:0010952; GO:0014046; GO:0016020; GO:0016239; GO:0016242; GO:0016301; GO:0016504; GO:0016567; GO:0018105; GO:0022904; GO:0030097; GO:0030424; GO:0030426; GO:0031396; GO:0031398; GO:0031625; GO:0032148; GO:0032226; GO:0033138; GO:0033603; GO:0034599; GO:0035307; GO:0035556; GO:0036289; GO:0038203; GO:0042981; GO:0043123; GO:0043254; GO:0043422; GO:0043524; GO:0044297; GO:0044877; GO:0045727; GO:0046329; GO:0048471; GO:0050821; GO:0051443; GO:0051881; GO:0051897; GO:0055131; GO:0061136; GO:0071456; GO:0072655; GO:0072656; GO:0090141; GO:0090200; GO:0090258; GO:0097237; GO:0097413; GO:0097449; GO:0098779; GO:0099074; GO:0106310; GO:1900407; GO:1901525; GO:1902803; GO:1902902; GO:1902958; GO:1903146; GO:1903214; GO:1903298; GO:1903377; GO:1903384; GO:1903751; GO:1903852; GO:1903955; GO:1904544; GO:1904841; GO:1904881; GO:2000377; GO:2000378; GO:2001171; GO:2001243
1735	g12646	1159.45058002726	-1.24300533568219	0.345303074378984	-3.59975171931987	0.000318521162997917	0.00180936462972094	520	714	840	682	231	652	1811	1391	1513	1687	3640	1431	sp	P11348	DHPR_RAT	58.921	241	96	3	1	720	1	239	1.07e-85	257	P11348	reviewed	DHPR_RAT	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase)	Qdpr Dhpr	Rattus norvegicus (Rat)	241	GO:0001889; GO:0004155; GO:0005737; GO:0006559; GO:0006729; GO:0010044; GO:0010288; GO:0033762; GO:0042802; GO:0070402; GO:0070404; GO:0071466
1736	g1840	478.527027012036	0.959597216641815	0.271114388128502	3.53945514757036	0.000400953898640486	0.00218941452610132	577	717	700	265	362	649	774	410	327	345	228	387	sp	P17612	KAPCA_HUMAN	82.386	352	61	1	1	1056	1	351	0	591	P17612	reviewed	KAPCA_HUMAN	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA PKACA	Homo sapiens (Human)	351	GO:0000287; GO:0001669; GO:0001707; GO:0001843; GO:0002027; GO:0003091; GO:0004672; GO:0004674; GO:0004679; GO:0004691; GO:0004712; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005759; GO:0005813; GO:0005829; GO:0005886; GO:0005952; GO:0006397; GO:0006468; GO:0006611; GO:0007189; GO:0010737; GO:0010881; GO:0016241; GO:0016607; GO:0018105; GO:0019221; GO:0019901; GO:0019904; GO:0030145; GO:0031588; GO:0031594; GO:0031625; GO:0032024; GO:0032703; GO:0034237; GO:0034380; GO:0034605; GO:0034704; GO:0035694; GO:0036126; GO:0043197; GO:0044853; GO:0045667; GO:0045722; GO:0045879; GO:0046827; GO:0048240; GO:0048471; GO:0050850; GO:0051726; GO:0055117; GO:0061136; GO:0070062; GO:0070417; GO:0070613; GO:0071333; GO:0071374; GO:0071377; GO:0071872; GO:0086064; GO:0097225; GO:0097546; GO:0098978; GO:0099103; GO:0099170; GO:0106310; GO:0141156; GO:1903779; GO:1904262; GO:1904539; GO:1990044; GO:2000810
1737	g1842	311.885756347576	-0.68823555542235	0.20652016576123	-3.33253439384733	0.000860588325700797	0.00418039912798955	195	317	184	260	113	172	624	403	422	491	492	384	sp	Q0VA16	WDR70_XENTR	59.397	431	170	4	85	1374	194	620	2.32e-179	519	Q0VA16	reviewed	WDR70_XENTR	WD repeat-containing protein 70	wdr70	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	622	
1738	g3994	549.850255115769	0.728629845522381	0.268500000602643	2.71370519138542	0.00665353484906015	0.0230428599925136	673	653	605	298	547	639	560	416	519	490	554	439	sp	Q0VFM0	ZFPL1_XENTR	48.287	321	164	2	1	960	1	320	2.64e-102	306	Q0VFM0	reviewed	ZFPL1_XENTR	Zinc finger protein-like 1	zfpl1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	320	GO:0005794; GO:0016020; GO:0016192; GO:0046872
1739	g3993	1597.27730764079	1.13949213649592	0.288637045626046	3.94783744416588	7.88603192418053e-05	0.000550132269561987	2355	2282	1304	1206	1909	1764	1285	1523	1109	1003	964	1298	sp	A1A5F2	HTR5B_XENTR	57.039	2067	799	20	1	5982	1	2051	0	1961	A1A5F2	reviewed	HTR5B_XENTR	HEAT repeat-containing protein 5B	heatr5b	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	2052	GO:0015031; GO:0030136
1740	g10513	3787.45188704517	1.09016714190452	0.333313481110731	3.27069621748168	0.00107283087107698	0.00504465313453004	3287	3005	5211	2869	4083	6482	3936	2800	1835	4177	2071	3125	sp	Q96BA8	CR3L1_HUMAN	58.333	156	63	2	670	1131	237	392	1.31e-48	179	Q96BA8	reviewed	CR3L1_HUMAN	Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1]	CREB3L1 OASIS PSEC0238	Homo sapiens (Human)	519	GO:0000785; GO:0000976; GO:0000981; GO:0001227; GO:0001228; GO:0001649; GO:0003682; GO:0005634; GO:0005654; GO:0005783; GO:0005789; GO:0005829; GO:0006357; GO:0010629; GO:0016020; GO:0030968; GO:0032967; GO:0034976; GO:0035497; GO:0040037; GO:0045892; GO:0045944; GO:0046332; GO:0070278; GO:1902236; GO:1903671; GO:1990837
1741	g10518	299.566666730011	-0.925799840468863	0.201820154792286	-4.58725166186549	4.49119172624069e-06	4.56120073626707e-05	196	169	233	209	111	149	724	600	332	534	407	326	sp	Q9ULM3	YETS2_HUMAN	50.286	350	148	6	40	1089	9	332	1.89e-93	337	Q9ULM3	reviewed	YETS2_HUMAN	YEATS domain-containing protein 2	YEATS2 KIAA1197	Homo sapiens (Human)	1422	GO:0000122; GO:0003714; GO:0005634; GO:0005654; GO:0006338; GO:0006355; GO:0006357; GO:0017025; GO:0035267; GO:0042393; GO:0045995; GO:0051302; GO:0051726; GO:0072686; GO:0090043; GO:0140030; GO:0140566; GO:0140672
1742	g6314	1154.1405618713	2.90859780374525	0.309671282337717	9.39253321066186	5.85742304116871e-21	9.19207944556275e-19	2499	1232	1257	1788	1833	1314	306	394	270	365	331	280	sp	Q5U3Y5	SFT2A_RAT	57.669	163	65	2	1	489	1	159	1.37e-53	170	Q5U3Y5	reviewed	SFT2A_RAT	Vesicle transport protein SFT2A (SFT2 domain-containing protein 1)	Sft2d1	Rattus norvegicus (Rat)	159	GO:0005737; GO:0012505; GO:0015031; GO:0016020; GO:0016192; GO:0043231
1743	g12645	344.360440404238	0.499874897746182	0.190384092289777	2.62561273756706	0.00864931609243744	0.0284791475132674	436	326	306	322	283	352	498	379	319	312	254	338	sp	Q9P0J7	KCMF1_HUMAN	60.641	343	116	5	1	1017	1	328	8.36e-130	380	Q9P0J7	reviewed	KCMF1_HUMAN	E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (ZZ-type zinc finger-containing protein 1)	KCMF1 FIGC ZZZ1	Homo sapiens (Human)	381	GO:0005576; GO:0005737; GO:0005764; GO:0005770; GO:0005829; GO:0005886; GO:0006511; GO:0006979; GO:0008270; GO:0043161; GO:0045202; GO:0061630; GO:0070534; GO:0070936; GO:0099536; GO:0141191; GO:1904813
1744	g20346	166.305447190987	3.93569650895042	0.87981600877564	4.47331768198601	7.70152259174592e-06	7.27693079650464e-05	225	637	435	22	14	434	41	19	24	15	0	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1745	g20347	195.219655119178	3.64171756914569	0.770549890457105	4.72612820304906	2.2884120113556e-06	2.5090505205914e-05	368	855	390	19	18	425	37	35	26	8	20	80	sp	Q7T2L7	I17RD_CHICK	30.189	159	98	5	40	489	409	563	4.62e-13	73.9	Q7T2L7	reviewed	I17RD_CHICK	Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (Sef homolog) (cSEF)	IL17RD SEF	Gallus gallus (Chicken)	741	GO:0016020; GO:0030368
1746	g20344	409.404135726815	5.13743188421979	0.667172806860743	7.70030167805103	1.35745367893369e-14	8.53587684450047e-13	853	1986	400	560	443	61	15	5	24	43	46	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1747	g20345	446.322476151868	5.59832243357505	0.589686726874081	9.49372298618906	2.22926919636565e-21	3.6574201078919e-19	761	2406	491	503	480	98	20	15	23	35	28	9	sp	Q7T2L7	I17RD_CHICK	32.075	159	95	5	40	489	409	563	3.59e-16	82.4	Q7T2L7	reviewed	I17RD_CHICK	Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (Sef homolog) (cSEF)	IL17RD SEF	Gallus gallus (Chicken)	741	GO:0016020; GO:0030368
1748	g20343	79.6600790170258	5.54785382123747	0.880209759926759	6.30287696616668	2.92170817335395e-10	8.35627058708696e-09	143	351	105	132	81	26	6	0	0	7	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1749	g13099	362.133485423828	-1.27941754597376	0.396314793007107	-3.22828612140858	0.00124534345135334	0.0057042419458309	180	162	292	283	96	93	584	531	322	506	1150	526	sp	Q7L273	KCTD9_HUMAN	58.647	399	155	2	1	1197	1	389	1.36e-166	475	Q7L273	reviewed	KCTD9_HUMAN	BTB/POZ domain-containing protein KCTD9	KCTD9	Homo sapiens (Human)	389	GO:0016567; GO:0035556; GO:0042802; GO:0051260; GO:0097602
1750	g13092	112.100987104959	-1.39240051348603	0.304590004946988	-4.57139266184512	4.84493445859247e-06	4.87927076865057e-05	40	117	57	51	19	48	299	209	185	224	131	163	sp	Q6P9P0	SLF2_MOUSE	30.213	235	147	7	682	1353	902	1130	6.43e-21	101	Q6P9P0	reviewed	SLF2_MOUSE	SMC5-SMC6 complex localization factor protein 2	Slf2 Fam178a	Mus musculus (Mouse)	1278	GO:0000785; GO:0005634; GO:0006281; GO:0006974; GO:0016605; GO:0031334; GO:0034184; GO:0035861; GO:1990166; GO:2000781
1751	g7193	27.7471970280333	3.91910096720081	1.58770705595141	2.46840306749934	0.0135717403687221	0.0410886090310901	11	23	104	4	0	135	0	8	15	0	0	0	sp	Q4JAI4	METE_SULAC	29.022	317	178	11	508	1422	35	316	1.33e-23	105	Q4JAI4	reviewed	METE_SULAC	Methionine synthase (EC 2.1.1.-) (Homocysteine methyltransferase)	metE Saci_0828	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	339	GO:0003871; GO:0008270; GO:0009086; GO:0032259
1752	g16608	374.434455824005	0.75746257063564	0.261934077948969	2.89180612376528	0.00383034233928233	0.014574147621996	451	396	450	445	305	337	276	276	424	491	288	237	sp	Q9XUE6	PMM_CAEEL	56.223	233	99	1	13	702	7	239	1.51e-94	280	Q9XUE6	reviewed	PMM_CAEEL	Probable phosphomannomutase (PMM) (EC 5.4.2.8)	F52B11.2	Caenorhabditis elegans	254	GO:0004615; GO:0005829; GO:0006013; GO:0006487; GO:0009298; GO:0046872
1753	g16609	344.343771825507	-0.830772094062256	0.340505027712439	-2.43982328144609	0.0146944482551584	0.0437978470067301	250	238	246	247	203	62	621	390	561	742	433	469	sp	Q63430	CSDC2_RAT	47.115	104	53	1	76	387	46	147	4.22e-21	86.3	Q63430	reviewed	CSDC2_RAT	Cold shock domain-containing protein C2 (RNA-binding protein PIPPin)	Csdc2 Pippin	Rattus norvegicus (Rat)	154	GO:0003723; GO:0003730; GO:0005634; GO:0005737; GO:0006397; GO:0043488
1754	g16602	215.98255388051	-0.773729117947479	0.241386184499806	-3.20535791868446	0.00134894625903789	0.00610289123511077	144	232	125	131	74	130	482	429	304	325	175	308	sp	Q14344	GNA13_HUMAN	60.556	360	135	2	22	1080	18	377	2.39e-160	457	Q14344	reviewed	GNA13_HUMAN	Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)	GNA13	Homo sapiens (Human)	377	GO:0001569; GO:0001701; GO:0003924; GO:0003925; GO:0005085; GO:0005525; GO:0005634; GO:0005737; GO:0005829; GO:0005834; GO:0005886; GO:0005925; GO:0007165; GO:0007186; GO:0007188; GO:0007189; GO:0007204; GO:0007266; GO:0008217; GO:0008360; GO:0010762; GO:0016020; GO:0030154; GO:0030168; GO:0031526; GO:0031683; GO:0031752; GO:0042470; GO:0046872; GO:0051056; GO:0070062; GO:1904706; GO:1904753
1755	g16601	600.859665914483	-0.698166444131703	0.183575515387079	-3.80315666095003	0.000142863946503477	0.000918824974455956	412	475	476	469	160	425	1169	954	930	989	677	738	sp	E7FC72	EXOC7_DANRE	41.342	745	371	9	4	2127	5	720	0	545	E7FC72	reviewed	EXOC7_DANRE	Exocyst complex component 7	exoc7	Danio rerio (Zebrafish) (Brachydanio rerio)	720	GO:0000145; GO:0005546; GO:0005829; GO:0005886; GO:0006887; GO:0015031; GO:0090543
1756	g14608	572.458935496736	0.662059362039124	0.237302677977261	2.78993632807871	0.00527184080247137	0.0190243773169768	699	960	806	304	431	472	742	511	489	659	469	402	sp	Q5U3W3	RUN3B_DANRE	35.747	442	241	8	121	1389	8	425	2.89e-61	211	Q5U3W3	reviewed	RUN3B_DANRE	RUN domain-containing protein 3B	rundc3b zgc:101561	Danio rerio (Zebrafish) (Brachydanio rerio)	450	
1757	g14605	2067.90849493931	4.93314304302359	1.12533182322482	4.38372304169529	1.1666808121323e-05	0.000105117766433109	372	2019	14023	23	107	5949	7	192	469	39	128	33	sp	P21836	ACES_MOUSE	35.327	535	296	14	148	1665	60	573	9.23e-95	305	P21836	reviewed	ACES_MOUSE	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Mus musculus (Mouse)	614	GO:0001919; GO:0002076; GO:0003990; GO:0005518; GO:0005604; GO:0005615; GO:0005635; GO:0005788; GO:0005794; GO:0005886; GO:0006581; GO:0007155; GO:0007416; GO:0008291; GO:0009986; GO:0017171; GO:0019695; GO:0030424; GO:0030425; GO:0031594; GO:0031623; GO:0032868; GO:0033265; GO:0042166; GO:0042734; GO:0042802; GO:0042803; GO:0043025; GO:0043083; GO:0043236; GO:0045202; GO:0045211; GO:0048471; GO:0050772; GO:0050775; GO:0060041; GO:0095500; GO:0098552; GO:0120162
1758	g14606	5.81199580365845	6.25258763246173	1.97304475807079	3.16900445713933	0.00152962049406902	0.00678757340950665	14	23	0	7	13	0	0	0	0	0	0	0	sp	P81908	CHLE_HORSE	35.622	539	300	15	178	1716	25	542	2.1e-84	278	P81908	reviewed	CHLE_HORSE	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (EQ-BCHE) (Pseudocholinesterase)	BCHE	Equus caballus (Horse)	574	GO:0003990; GO:0004104; GO:0005615; GO:0005886; GO:0006581; GO:0019695
1759	g14607	372.714199475172	1.39382539533459	0.351405735213503	3.96642756694834	7.29579338641383e-05	0.000514820669104406	533	324	417	252	592	429	376	260	220	331	180	166	sp	Q5NVK7	SPOP_PONAB	81.163	361	67	1	4	1086	15	374	0	596	Q5NVK7	reviewed	SPOP_PONAB	Speckle-type POZ protein	SPOP	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	374	GO:0000209; GO:0005634; GO:0005737; GO:0016607; GO:0030162; GO:0031463; GO:0031625; GO:0043161; GO:0051179
1760	g7735	36.3322240673349	-2.25301336622707	0.795766909913335	-2.83124786688157	0.00463667737351888	0.017122593934908	20	12	13	0	0	25	57	131	99	55	55	30	sp	Q3S8M4	ELOV4_MACMU	51.838	272	130	1	1	816	12	282	2.34e-96	289	Q3S8M4	reviewed	ELOV4_MACMU	Very long chain fatty acid elongase 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL4) (ELOVL fatty acid elongase 4) (ELOVL FA elongase 4) (Elongation of very long chain fatty acids protein 4) (Very long chain 3-ketoacyl-CoA synthase 4) (Very long chain 3-oxoacyl-CoA synthase 4)	ELOVL4	Macaca mulatta (Rhesus macaque)	314	GO:0005783; GO:0005789; GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0035338; GO:0042761
1761	g7734	384.37336370292	-2.21712859499228	0.44925560212485	-4.935116188882	8.01030588280436e-07	9.94920786420993e-06	115	111	275	82	15	155	1009	909	1014	764	558	387	sp	Q9GZR5	ELOV4_HUMAN	46.181	288	146	3	28	867	24	310	1.7e-90	274	Q9GZR5	reviewed	ELOV4_HUMAN	Very long chain fatty acid elongase 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL4) (ELOVL fatty acid elongase 4) (ELOVL FA elongase 4) (Elongation of very long chain fatty acids protein 4) (Very long chain 3-ketoacyl-CoA synthase 4) (Very long chain 3-oxoacyl-CoA synthase 4)	ELOVL4	Homo sapiens (Human)	314	GO:0005783; GO:0005789; GO:0006633; GO:0006636; GO:0008020; GO:0009922; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0035338; GO:0042761
1762	g7737	519.423457181297	2.59936616780792	0.565752323952638	4.59453025247411	4.33725204016206e-06	4.42478166019247e-05	988	2610	747	172	133	511	212	262	246	122	98	128	sp	P97360	ETV6_MOUSE	54.688	64	29	0	100	291	59	122	1.24e-18	87	P97360	reviewed	ETV6_MOUSE	Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)	Etv6 Tel Tel1	Mus musculus (Mouse)	485	GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0005730; GO:0005829; GO:0006355; GO:0006357; GO:0007296; GO:0019904; GO:0022008; GO:0030154; GO:0045944; GO:0071425; GO:0097152
1763	g7736	1113.92471714529	2.54524975005471	0.534294988536865	4.76375374027881	1.90024392881522e-06	2.12740087985907e-05	2110	5407	1712	495	309	958	482	573	476	209	369	244	sp	Q9Y603	ETV7_HUMAN	54.054	74	34	0	841	1062	243	316	2.93e-20	95.1	Q9Y603	reviewed	ETV7_HUMAN	Transcription factor ETV7 (ETS translocation variant 7) (ETS-related protein Tel2) (Tel-related Ets factor) (Transcription factor Tel-2)	ETV7 TEL2 TELB TREF	Homo sapiens (Human)	341	GO:0000122; GO:0000785; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0005654; GO:0006357; GO:0006366; GO:0009887; GO:1990837
1764	g7731	602.546007674298	1.07393292877726	0.395001528868881	2.71880701791852	0.00655178209917997	0.0227601808028287	1489	803	573	1041	319	213	443	695	381	523	292	470	sp	A6NGN9	IGLO5_HUMAN	28.866	194	112	8	358	918	132	306	5.6e-06	52	A6NGN9	reviewed	IGLO5_HUMAN	IgLON family member 5	IGLON5	Homo sapiens (Human)	336	GO:0005576
1765	g7730	4180.26361987676	1.62700910545637	0.427814376692735	3.80307253354629	0.000142912489793199	0.000918824974455956	6909	4143	3280	6348	6515	2853	3620	2782	3884	1715	2025	964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1766	g7739	479.314490726084	-1.52624683960809	0.243794182267243	-6.26039073375034	3.84014063357156e-10	1.07613382009419e-08	258	233	342	286	76	137	1190	940	889	851	702	663	sp	O93257	XRCC6_CHICK	49.396	579	278	7	94	1797	56	630	0	561	O93257	reviewed	XRCC6_CHICK	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP/AP lyase Ku70) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (DNA repair protein XRCC6) (Ku autoantigen protein p70 homolog) (Ku70)	XRCC6 G22P1 KU70	Gallus gallus (Chicken)	632	GO:0000723; GO:0003678; GO:0003684; GO:0003723; GO:0005524; GO:0005654; GO:0005694; GO:0006303; GO:0006310; GO:0016787; GO:0042162; GO:0043564; GO:0045892; GO:0051575; GO:0070419; GO:0071480; GO:1990904
1767	g7738	253.144695560964	2.90718998031472	0.548728447695657	5.29804859311239	1.17046821196515e-07	1.79773955926256e-06	465	1282	395	130	63	245	108	113	82	55	52	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1768	g4422	387.730536123521	1.74143464559516	0.459056787215815	3.79350593236402	0.00014853508066868	0.000950909046054513	588	190	293	348	733	548	342	210	242	127	227	163	sp	P23790	SRF_XENLA	68.927	177	43	4	235	750	88	257	3.25e-69	231	P23790	reviewed	SRF_XENLA	Serum response factor (SRF)	srf	Xenopus laevis (African clawed frog)	448	GO:0000981; GO:0003700; GO:0005634; GO:0010736; GO:0030036; GO:0045944; GO:0046983
1769	g4427	251.794365832716	1.20351480151137	0.489497382166072	2.45867464333662	0.0139450932354804	0.0420442281698353	195	217	245	778	151	177	391	154	109	312	70	154	sp	Q80X41	VRK1_MOUSE	48.87	354	171	4	70	1119	18	365	2.29e-119	363	Q80X41	reviewed	VRK1_MOUSE	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Serine/threonine-protein kinase 51PK) (Vaccinia-related kinase 1)	Vrk1	Mus musculus (Mouse)	440	GO:0000785; GO:0004674; GO:0005524; GO:0005634; GO:0005730; GO:0005795; GO:0005829; GO:0006338; GO:0006974; GO:0007165; GO:0015030; GO:0019901; GO:0030576; GO:0031175; GO:0031492; GO:0035175; GO:0042393; GO:0051301; GO:0072354; GO:0090166; GO:0106310; GO:0120187; GO:0141003; GO:2001222
1770	g4428	282.416450791441	2.98660675554395	0.528531955561732	5.65075909623996	1.59740831057638e-08	3.07339315362173e-07	257	1210	610	89	115	502	108	85	89	54	86	40	sp	Q1L994	PPR37_DANRE	52.381	420	198	2	121	1377	192	610	1.98e-127	396	Q1L994	reviewed	PPR37_DANRE	Protein phosphatase 1 regulatory subunit 37 (Leucine-rich repeat-containing protein 68)	ppp1r37 lrrc68 si:ch211-234g24.1	Danio rerio (Zebrafish) (Brachydanio rerio)	919	GO:0004864
1771	g4429	145.535668673129	2.95486547190555	0.756210545924437	3.90746398318651	9.32699394815535e-05	0.000637350472481483	152	569	281	69	34	327	61	77	35	39	0	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1772	g5772	390.07159849939	1.8986375613086	0.286838833666724	6.61917892022464	3.61199461608458e-11	1.21615050068057e-09	844	452	526	237	471	575	287	197	146	209	172	206	sp	Q6NVL7	CHM2B_XENTR	51.131	221	93	3	1	657	4	211	4.69e-58	185	Q6NVL7	reviewed	CHM2B_XENTR	Charged multivesicular body protein 2b (Chromatin-modifying protein 2b) (CHMP2b)	chmp2b	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	214	GO:0005829; GO:0007034; GO:0015031; GO:0031902
1773	g5771	329.240336559866	1.30343020871025	0.39377198614367	3.31011411318296	0.000932579429158333	0.00447137645005856	389	1083	294	208	185	373	293	223	138	185	208	334	sp	Q99P75	RAB9A_RAT	28.571	161	91	4	67	546	8	145	1.9e-09	61.2	Q99P75	reviewed	RAB9A_RAT	Ras-related protein Rab-9A	Rab9a Rab9	Rattus norvegicus (Rat)	201	GO:0000139; GO:0003924; GO:0005525; GO:0005764; GO:0005770; GO:0005789; GO:0005829; GO:0005886; GO:0015031; GO:0019003; GO:0030659; GO:0030670; GO:0032482; GO:0032880; GO:0042147; GO:0042470; GO:0042802; GO:0045335; GO:0045921; GO:0052403
1774	g5770	1035.48548586585	3.43083523142358	0.555374710333021	6.17751432967903	6.5118666884438e-10	1.70318345110645e-08	1445	1438	1897	314	1220	3115	171	155	120	187	94	520	sp	Q60636	PRDM1_MOUSE	56.915	188	72	4	1048	1593	517	701	3.58e-57	213	Q60636	reviewed	PRDM1_MOUSE	PR domain zinc finger protein 1 (EC 2.1.1.-) (B lymphocyte-induced maturation protein 1) (Blimp-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1)	Prdm1 Blimp1	Mus musculus (Mouse)	856	GO:0000122; GO:0000976; GO:0000978; GO:0001227; GO:0001701; GO:0001763; GO:0001822; GO:0001892; GO:0001893; GO:0002250; GO:0003170; GO:0003279; GO:0003281; GO:0003700; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006357; GO:0007281; GO:0008168; GO:0009791; GO:0010467; GO:0010628; GO:0010629; GO:0032259; GO:0032823; GO:0033082; GO:0035904; GO:0042127; GO:0042462; GO:0045087; GO:0045165; GO:0046872; GO:0048844; GO:0051136; GO:0060040; GO:0060576; GO:0060707; GO:0060976; GO:1990226; GO:1990654; GO:1990841
1775	g18601	2.73089504060118	-4.64732342991256	1.71181412808159	-2.71485282991604	0.00663052285912894	0.0229788514186083	0	0	0	0	0	0	6	12	14	3	0	4	sp	Q9Y6R7	FCGBP_HUMAN	29.478	268	175	6	31	825	28	284	5.3e-18	90.5	Q9Y6R7	reviewed	FCGBP_HUMAN	IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)	FCGBP	Homo sapiens (Human)	5405	GO:0005615; GO:0031012; GO:0070062
