gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g12348	348.1852207	3.483879797	0.727680352	4.787651315	1.69E-06	1.80E-05	2729	89	30	29	30	28	121	59	96	173	318	737	3364	41	436	25	sp	Q9H0C1	ZMY12_HUMAN	52.071	338	157	2	4	1017	3	335	6.14E-119	352	Q9H0C1	reviewed	ZMY12_HUMAN	Zinc finger MYND domain-containing protein 12	ZMYND12	Homo sapiens (Human)	365	GO:0007288; GO:0030317; GO:0036126; GO:0046872
g3193	628.1577204	1.327424986	0.419275641	3.165995962	0.001545529	0.006405996	11159	420	268	402	466	432	573	479	299	922	517	2944	13539	144	1074	122	sp	Q8BTU1	CFA20_MOUSE	94.241	191	11	0	1	573	1	191	7.99E-135	378	Q8BTU1	reviewed	CFA20_MOUSE	Cilia- and flagella-associated protein 20 (Gene trap locus 3 protein)	Cfap20 Gtl3	Mus musculus (Mouse)	193	GO:0005654; GO:0005814; GO:0005879; GO:0005929; GO:0018095; GO:0030317; GO:0031514; GO:0036064; GO:0036126; GO:0060271; GO:0060296; GO:0160112; GO:2000147; GO:2000253
g12375	74.41296928	2.34763807	0.664326788	3.533860313	0.000409537	0.002096819	2671	11	19	10	10	26	85	21	38	275	195	90	4894	6	58	26	sp	Q2TA11	CF107_BOVIN	38.272	81	43	3	142	372	112	189	1.72E-08	55.1	Q2TA11	reviewed	CF107_BOVIN	Cilia- and flagella-associated protein 107	CFAP107	Bos taurus (Bovine)	196	GO:0005879; GO:0030317; GO:0036126; GO:0160111
g18806	467.1185272	1.505174989	0.556394167	2.705231432	0.006825682	0.022453683	11308	246	197	331	95	368	459	352	199	1012	181	2959	16352	47	638	90	sp	Q14AW5	NSUN7_MOUSE	42.245	490	273	4	196	1650	50	534	6.60E-105	338	Q14AW5	reviewed	NSUN7_MOUSE	Putative methyltransferase NSUN7 (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 7)	Nsun7	Mus musculus (Mouse)	724	GO:0003723; GO:0008168; GO:0030317; GO:0030382; GO:0032259
g12890	332.0099879	2.156875638	0.5093072	4.234920765	2.29E-05	0.000178902	11824	129	67	84	106	125	261	111	218	841	348	1750	15239	48	378	106	sp	B2RW38	CFA58_MOUSE	68.068	880	268	4	1	2637	1	868	0	1092	B2RW38	reviewed	CFA58_MOUSE	Cilia- and flagella-associated protein 58	Cfap58	Mus musculus (Mouse)	873	GO:0005737; GO:0005813; GO:0005856; GO:0007219; GO:0007288; GO:0030317; GO:0036126; GO:0060271; GO:0097225; GO:0120229; GO:0120316; GO:0120317
g10305	33.44955552	2.921454533	0.987841448	2.957412384	0.003102329	0.011489261	427	8	9	8	0	4	18	21	0	36	8	219	250	0	14	10	sp	Q96M86	DNHD1_HUMAN	23.506	1004	670	13	2320	5157	660	1623	1.44E-59	232	Q96M86	reviewed	DNHD1_HUMAN	Dynein heavy chain domain-containing protein 1 (Coiled-coil domain-containing protein 35) (Dynein heavy chain domain 1-like protein)	DNHD1 C11orf47 CCDC35 DHCD1 DNHD1L UNQ5781/PRO12970	Homo sapiens (Human)	4753	GO:0005524; GO:0008569; GO:0030317; GO:0036126; GO:0036156; GO:0045505; GO:0051959; GO:0070062; GO:0120316
g7363	89.21416653	3.031111552	1.038229211	2.919501319	0.003505919	0.01273599	3316	0	0	0	11	25	83	11	41	468	131	181	5601	17	55	17	sp	Q9D3W1	RSP14_MOUSE	49.853	341	170	1	1	1020	1	341	2.09E-91	280	Q9D3W1	reviewed	RSP14_MOUSE	Radial spoke head 14 homolog (Rhabdoid tumor deletion region protein 1)	Rsph14 Rtdr1	Mus musculus (Mouse)	341	GO:0001534; GO:0003351; GO:0005576; GO:0007618; GO:0030317; GO:0036126; GO:0097729
g17412	168.8795007	2.919920902	0.737605486	3.958648567	7.54E-05	0.000502596	7431	32	0	22	50	67	71	27	110	880	81	470	13224	29	143	91	sp	Q3V2A7	QRIC2_MOUSE	37.875	367	209	8	1441	2520	101	455	2.48E-67	239	Q3V2A7	reviewed	QRIC2_MOUSE	Glutamine-rich protein 2	Qrich2 Gm66	Mus musculus (Mouse)	592	GO:0005634; GO:0005737; GO:0030031; GO:0030317; GO:0031965; GO:0036126; GO:2000059
g3540	125.8577766	2.731968162	0.606271182	4.50618179	6.60E-06	6.05E-05	3837	53	17	10	11	24	58	27	58	379	111	670	7787	32	135	58	sp	Q5JU00	DRC5_HUMAN	51.62	463	216	3	43	1413	14	474	2.40E-170	492	Q5JU00	reviewed	DRC5_HUMAN	Dynein regulatory complex subunit 5 (T-complex-associated testis-expressed protein 1) (Tcte-1)	TCTE1 DRC5	Homo sapiens (Human)	501	GO:0005737; GO:0005856; GO:0007018; GO:0030317; GO:0036126
g10031	206.8972495	2.375391219	0.653679051	3.633879984	0.000279191	0.00152219	7310	57	25	20	27	78	188	73	94	566	316	1237	7520	18	143	46	sp	E1BJL9	CF210_BOVIN	36.842	285	167	4	28	870	272	547	1.09E-29	120	E1BJL9	reviewed	CF210_BOVIN	Cilia- and flagella- associated protein 210	CFAP210 CCDC173	Bos taurus (Bovine)	547	GO:0005879; GO:0030317; GO:0036126; GO:0160112
g10030	161.4123682	2.429011987	0.668169941	3.635320653	0.000277635	0.001516284	5253	32	35	17	21	75	139	33	34	514	220	929	7346	25	89	38	sp	E1BJL9	CF210_BOVIN	42.328	189	105	1	97	663	32	216	1.16E-25	108	E1BJL9	reviewed	CF210_BOVIN	Cilia- and flagella- associated protein 210	CFAP210 CCDC173	Bos taurus (Bovine)	547	GO:0005879; GO:0030317; GO:0036126; GO:0160112
g5016	50.67026212	3.09265232	0.893903781	3.459715002	0.000540747	0.002643608	2034	12	0	0	10	21	18	5	7	248	29	176	2685	12	81	6	sp	A8SMG2	SMI10_BOVIN	33.019	106	65	3	25	333	28	130	3.45E-08	51.6	A8SMG2	reviewed	SMI10_BOVIN	Sperm-associated microtubule inner protein 10 (Testis-expressed protein 43)	SPMIP10 C5orf48 TEX43	Bos taurus (Bovine)	133	GO:0005737; GO:0005856; GO:0030317; GO:0042995
g21263	1845.110117	1.439069847	0.457266895	3.147111374	0.001648921	0.006758893	942	434	898	898	2815	2742	583	1332	1983	2060	2338	1866	1812	1133	704	2788	sp	P16056	MET_MOUSE	31.308	1399	806	45	109	4053	30	1357	7.94E-175	560	P16056	reviewed	MET_MOUSE	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	Met	Mus musculus (Mouse)	1379	GO:0000122; GO:0001764; GO:0001889; GO:0001890; GO:0004672; GO:0004713; GO:0005008; GO:0005524; GO:0005615; GO:0005886; GO:0006909; GO:0007268; GO:0007399; GO:0007420; GO:0007517; GO:0007519; GO:0008013; GO:0009925; GO:0010628; GO:0010629; GO:0010800; GO:0010801; GO:0010828; GO:0010976; GO:0014812; GO:0014902; GO:0016020; GO:0016477; GO:0017154; GO:0030182; GO:0030317; GO:0030425; GO:0030534; GO:0031016; GO:0032675; GO:0033138; GO:0036126; GO:0042593; GO:0043025; GO:0043235; GO:0043274; GO:0043410; GO:0043548; GO:0044877; GO:0045211; GO:0045740; GO:0045840; GO:0045944; GO:0048012; GO:0050775; GO:0050804; GO:0050918; GO:0051450; GO:0051649; GO:0055013; GO:0060048; GO:0060076; GO:0060079; GO:0060665; GO:0071526; GO:0071635; GO:0072593; GO:1900407; GO:1900745; GO:1904659; GO:2001028
g13576	83.12803302	1.456409621	0.539153657	2.701288591	0.006907138	0.022663372	2167	62	31	19	26	34	167	39	52	179	73	386	2700	6	96	38	sp	Q5W041	ARMC3_HUMAN	48.718	156	79	1	760	1224	717	872	8.56E-43	163	Q5W041	reviewed	ARMC3_HUMAN	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)	ARMC3	Homo sapiens (Human)	872	GO:0007286; GO:0030317; GO:0034517; GO:0070062
g18908	31.30687561	4.044183456	1.479879058	2.732779706	0.006280232	0.020887466	4420	0	0	0	8	4	0	0	18	91	21	374	3699	0	8	0	sp	Q8BVN3	CTSR4_MOUSE	36.08	352	206	7	433	1470	88	426	1.72E-40	155	Q8BVN3	reviewed	CTSR4_MOUSE	Cation channel sperm-associated protein 4 (CatSper4)	Catsper4	Mus musculus (Mouse)	442	GO:0001669; GO:0005227; GO:0005245; GO:0006814; GO:0030317; GO:0036128; GO:0048240; GO:0051649; GO:0097228
g10506	68.23061909	2.632941641	0.461989372	5.699138992	1.20E-08	2.12E-07	14	12	16	16	22	20	74	34	30	101	136	95	89	18	199	64	sp	Q6P1E8	EFCB6_MOUSE	26.91	301	175	7	2119	2925	1228	1515	1.92E-21	105	Q6P1E8	reviewed	EFCB6_MOUSE	EF-hand calcium-binding domain-containing protein 6 (DJ-1-binding protein) (DJBP)	Efcab6 Djbp Kiaa1672	Mus musculus (Mouse)	1516	GO:0005509; GO:0005654; GO:0030317; GO:0036126; GO:0160111
g20350	239.4869577	1.457992139	0.512787255	2.843269063	0.004465336	0.015659983	6002	263	97	114	58	98	295	142	71	526	311	1069	10571	25	216	102	sp	Q4R6T7	IQUB_MACFA	50.235	637	295	4	775	2625	127	761	0	622	Q4R6T7	reviewed	IQUB_MACFA	IQ motif and ubiquitin-like domain-containing protein	IQUB QtsA-17155 QtsA-17428	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	790	GO:0001534; GO:0007618; GO:0030030; GO:0030317; GO:0036126; GO:0097729
g24111	258.6678308	2.320925544	0.623783383	3.720723583	0.000198653	0.001143292	10676	29	40	73	97	150	210	56	97	1132	259	956	17931	35	112	111	sp	Q4V7B5	TEKL1_RAT	28.571	392	248	6	154	1323	110	471	1.23E-38	149	Q4V7B5	reviewed	TEKL1_RAT	Tektin-like protein 1 (Coiled-coil domain-containing protein 105)	Tektl1 Ccdc105	Rattus norvegicus (Rat)	500	GO:0030317; GO:0036126; GO:0160112
g10056	126.5942687	2.59352331	0.778124597	3.33304373	0.000859014	0.003906953	5679	39	0	18	14	27	96	52	50	458	70	600	5999	34	187	12	sp	Q9JLI7	SPAG6_MOUSE	84.418	507	79	0	1	1521	1	507	0	863	Q9JLI7	reviewed	SPAG6_MOUSE	Sperm-associated antigen 6 (Axoneme central apparatus protein) (Protein PF16 homolog)	Spag6 Pf16	Mus musculus (Mouse)	507	GO:0001669; GO:0002177; GO:0003351; GO:0003356; GO:0005576; GO:0005829; GO:0005874; GO:0005930; GO:0006931; GO:0007283; GO:0007288; GO:0008017; GO:0008104; GO:0010761; GO:0015630; GO:0021591; GO:0030317; GO:0031410; GO:0043149; GO:0043583; GO:0044458; GO:0045198; GO:0046847; GO:0051301; GO:0051649; GO:0090175; GO:0090660; GO:0097228; GO:0120197; GO:0120249; GO:1905515; GO:1990138; GO:1990716
g6277	239.1200627	2.594626457	0.941466695	2.755940778	0.005852359	0.019651069	6796	34	0	0	18	121	211	37	121	355	608	1217	7970	64	234	46	sp	Q80Y75	DJB13_MOUSE	64.762	315	111	0	1	945	1	315	4.68E-141	404	Q80Y75	reviewed	DJB13_MOUSE	DnaJ homolog subfamily B member 13 (Testis and spermatogenesis cell-related protein 6) (Testis spermatocyte apoptosis-related gene 6 protein) (Testis spermatogenesis apoptosis-related gene 3 protein) (Testis spermatogenesis apoptosis-related gene 6 protein)	Dnajb13 Tsarg Tsarg3 Tsarg6	Mus musculus (Mouse)	316	GO:0001534; GO:0003351; GO:0005576; GO:0005737; GO:0005829; GO:0005930; GO:0007618; GO:0030317; GO:0031514; GO:0036126; GO:0051082; GO:0051085; GO:0051087; GO:0097729; GO:0120212; GO:1904158
g8480	63.96869859	2.306125906	0.682729513	3.37780316	0.000730674	0.003402801	1636	18	5	19	0	21	62	30	26	89	80	415	2349	19	87	26	sp	Q3V0Q6	SPAG8_MOUSE	38.22	191	106	6	40	600	262	444	8.36E-26	106	Q3V0Q6	reviewed	SPAG8_MOUSE	Sperm-associated antigen 8 (Sperm membrane protein 1) (SMP-1) (Sperm membrane protein BS-84)	Spag8	Mus musculus (Mouse)	470	GO:0001669; GO:0001673; GO:0005634; GO:0005737; GO:0005815; GO:0005819; GO:0005879; GO:0007283; GO:0007338; GO:0008017; GO:0030154; GO:0030317; GO:0036126; GO:0045944; GO:0160111
g15979	70.16558691	1.708687897	0.410280797	4.164679184	3.12E-05	0.000234537	29693	26	18	46	65	21	15	47	67	82	78	13327	14713	39	102	62	sp	Q91XQ0	DYH8_MOUSE	66.465	4631	1454	19	109	13818	139	4731	0	6134	Q91XQ0	reviewed	DYH8_MOUSE	Dynein axonemal heavy chain 8 (Axonemal beta dynein heavy chain 8) (Ciliary dynein heavy chain 8)	Dnah8 Dnahc8	Mus musculus (Mouse)	4731	GO:0003777; GO:0005524; GO:0005874; GO:0005930; GO:0008569; GO:0016887; GO:0036126; GO:0036157; GO:0036158; GO:0045505; GO:0051959; GO:0060294
g17625	38.63805016	2.548301888	0.953800273	2.671735333	0.007546014	0.024356955	1221	8	14	0	0	15	36	10	23	107	27	344	1370	0	22	7	sp	Q8BW94	DYH3_MOUSE	42.105	722	367	4	1	2052	57	765	1.66E-165	531	Q8BW94	reviewed	DYH3_MOUSE	Dynein axonemal heavy chain 3 (Axonemal beta dynein heavy chain 3) (Ciliary dynein heavy chain 3)	Dnah3 Dnahc3	Mus musculus (Mouse)	4083	GO:0005524; GO:0005874; GO:0008569; GO:0016887; GO:0030286; GO:0036156; GO:0045505; GO:0051959; GO:0060294; GO:0097729
g19803	210.9120756	1.993016488	0.674338435	2.955513705	0.003121488	0.011546389	4192	101	54	79	56	73	287	97	96	186	82	2435	3866	14	232	27	sp	Q8IVF4	DYH10_HUMAN	67.029	4325	1304	16	514	13404	66	4296	0	5732	Q8IVF4	reviewed	DYH10_HUMAN	Dynein axonemal heavy chain 10 (Axonemal beta dynein heavy chain 10) (Ciliary dynein heavy chain 10)	DNAH10 KIAA2017	Homo sapiens (Human)	4471	GO:0005524; GO:0005874; GO:0005930; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959; GO:0060294; GO:0097729
g5373	136.1350024	2.498159294	0.940474075	2.656276616	0.007900878	0.025328317	1310	24	62	23	0	46	172	36	26	32	66	792	996	0	128	52	sp	Q96JB1	DYH8_HUMAN	31.169	154	101	2	4	456	2873	3024	3.54E-21	104	Q96JB1	reviewed	DYH8_HUMAN	Dynein axonemal heavy chain 8 (Axonemal beta dynein heavy chain 8) (Ciliary dynein heavy chain 8)	DNAH8	Homo sapiens (Human)	4490	GO:0003777; GO:0005524; GO:0005858; GO:0005874; GO:0005930; GO:0008569; GO:0016887; GO:0036126; GO:0036157; GO:0036158; GO:0045505; GO:0051959; GO:0060285; GO:0060294
g1918	166.8425212	1.885542414	0.488042363	3.863481039	0.000111783	0.000700943	3236	97	50	40	47	79	181	91	94	147	208	1151	3032	20	254	90	sp	Q8IWG1	DNAI3_HUMAN	48.212	867	424	9	265	2835	27	878	0	803	Q8IWG1	reviewed	DNAI3_HUMAN	Dynein axonemal intermediate chain 3 (Testis development protein NYD-SP29) (WD repeat-containing protein 63)	DNAI3 WDR63	Homo sapiens (Human)	891	GO:0005737; GO:0005858; GO:0030336; GO:0034316; GO:0036156; GO:0036159; GO:0045503; GO:0045504; GO:0045669; GO:0060294; GO:0071933
g15207	50.02125602	3.282357113	1.356371158	2.419954961	0.01552243	0.044231344	396	4	0	0	0	23	48	3	0	44	19	170	533	4	15	0	sp	Q9C0G6	DYH6_HUMAN	78.641	103	22	0	1	309	2677	2779	9.27E-44	155	Q9C0G6	reviewed	DYH6_HUMAN	Dynein axonemal heavy chain 6 (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)	DNAH6 DNAHC6 DNHL1 HL2 KIAA1697	Homo sapiens (Human)	4158	GO:0005524; GO:0005874; GO:0005930; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959; GO:0060294; GO:0097729
g15205	50.50338084	2.59928523	1.05558465	2.462412871	0.01380057	0.040026259	852	3	0	0	0	57	39	12	9	58	18	568	1571	20	30	14	sp	Q9C0G6	DYH6_HUMAN	78.077	260	57	0	115	894	3011	3270	1.18E-136	431	Q9C0G6	reviewed	DYH6_HUMAN	Dynein axonemal heavy chain 6 (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)	DNAH6 DNAHC6 DNHL1 HL2 KIAA1697	Homo sapiens (Human)	4158	GO:0005524; GO:0005874; GO:0005930; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959; GO:0060294; GO:0097729
g596	139.0877577	2.801530182	0.839484663	3.337202339	0.000846263	0.00385694	6764	27	4	0	11	44	130	10	73	566	201	387	8565	21	183	34	sp	Q26648	TKB1_STRPU	78.049	205	45	0	172	786	28	232	3.41E-111	329	Q26648	reviewed	TKB1_STRPU	Tektin-B1		Strongylocentrotus purpuratus (Purple sea urchin)	400	GO:0005737; GO:0005874; GO:0005929; GO:0015630; GO:0060271; GO:0060294
g595	81.57344993	2.777556053	0.851443419	3.262173376	0.001105615	0.00483443	3702	8	0	0	8	18	69	23	38	255	130	269	4655	21	112	29	sp	Q26648	TKB1_STRPU	83.186	113	19	0	4	342	286	398	3.98E-61	194	Q26648	reviewed	TKB1_STRPU	Tektin-B1		Strongylocentrotus purpuratus (Purple sea urchin)	400	GO:0005737; GO:0005874; GO:0005929; GO:0015630; GO:0060271; GO:0060294
